Days ago,Date,Yield(Wh),Consumption(Wh),Max. PV power(W),Max. PV voltage(V),Min. battery voltage(V),Max. battery voltage(V),Time in bulk(m),Time in absorption(m),Time in float(m),Last error,2nd last error,3rd last error,4th last error
0,4/3/25,210,220,73.00,37.99,12.05,14.66,752,38,0,0,0,0,0
1,4/2/25,230,200,65.00,38.21,12.08,14.68,729,57,0,0,0,0,0
2,4/1/25,250,200,75.00,40.36,12.08,14.70,715,52,0,0,0,0,0
3,3/31/25,200,200,82.00,39.34,12.02,14.62,758,9,0,0,0,0,0
4,3/30/25,310,250,81.00,38.47,12.07,14.68,717,54,0,0,0,0,0
5,3/29/25,190,200,68.00,37.84,12.00,14.60,749,2,0,0,0,0,0
6,3/28/25,270,250,73.00,38.91,12.05,14.66,655,87,0,0,0,0,0
7,3/27/25,270,220,81.00,39.43,12.06,14.67,705,24,0,0,0,0,0
8,3/26/25,230,180,55.00,36.70,12.03,14.63,749,2,0,0,0,0,0
9,3/25/25,170,250,82.00,39.56,12.00,14.61,711,27,0,0,0,0,0
10,3/24/25,200,0,126.00,38.56,12.03,13.87,753,0,0,0,0,0,0
11,3/23/25,30,210,27.00,36.43,11.80,12.66,232,0,0,0,0,0,0
12,3/22/25,70,0,34.00,20.71,12.22,13.02,634,0,0,0,0,0,0
13,3/21/25,40,0,18.00,33.88,12.12,12.71,370,0,0,0,0,0,0
14,3/20/25,100,310,20.00,34.25,11.90,14.16,733,0,0,0,0,0,0
15,3/19/25,70,0,12.00,33.84,12.58,13.17,728,0,0,0,0,0,0
16,3/18/25,70,0,13.00,34.15,12.48,13.02,725,0,0,0,0,0,0
17,3/17/25,60,0,13.00,34.48,12.29,12.86,720,0,0,0,0,0,0
18,3/16/25,70,230,20.00,34.61,12.00,14.26,714,0,0,0,0,0,0
19,3/15/25,40,0,14.00,34.49,12.59,13.63,706,0,0,0,0,0,0
20,3/14/25,20,0,8.00,33.17,12.59,13.06,636,0,0,0,0,0,0
21,3/13/25,60,0,16.00,34.78,12.51,13.17,696,0,0,0,0,0,0
22,3/12/25,50,0,21.00,34.35,12.42,13.08,677,0,0,0,0,0,0
23,3/11/25,40,0,19.00,34.32,12.37,12.93,676,0,0,0,0,0,0
24,3/10/25,60,0,20.00,34.12,12.26,12.82,693,0,0,0,0,0,0
25,3/9/25,40,0,24.00,34.32,12.10,12.65,680,0,0,0,0,0,0
26,3/8/25,70,300,13.00,33.19,11.85,14.12,688,0,0,0,0,0,0
27,3/7/25,50,0,10.00,33.47,12.58,13.10,686,0,0,0,0,0,0
28,3/6/25,50,0,9.00,33.41,12.51,12.98,681,0,0,0,0,0,0
29,3/5/25,50,0,9.00,33.62,12.43,12.86,670,0,0,0,0,0,0
30,3/4/25,50,0,9.00,33.56,12.27,12.74,670,0,0,0,0,0,0
