Days ago	Date	Yield(Wh)	Consumption(Wh)	Max. PV power(W)	Max. PV voltage(V)	Min. battery voltage(V)	Max. battery voltage(V)	Time in bulk(m)	Time in absorption(m)	Time in float(m)	Last error	2nd last error	3rd last error	4th last error
0	4/13/25	120	60	69	38.98	12.07	14.53	471	14	0	0	0	0	0
1	4/12/25	250	240	64	37.19	11.98	14.65	737	78	0	0	0	0	0
2	4/11/25	240	210	68	37.21	12	14.62	730	89	0	0	0	0	0
3	4/10/25	250	220	64	37.7	12.02	14.71	728	83	0	0	0	0	0
4	4/9/25	260	260	61	38.2	12.05	14.65	739	69	0	0	0	0	0
5	4/8/25	260	240	64	38.55	12.05	14.72	711	97	0	0	0	0	0
6	4/7/25	230	210	78	38.77	12.03	14.71	734	73	0	0	0	0	0
7	4/6/25	230	180	75	38.66	12.05	14.68	729	73	0	0	0	0	0
8	4/5/25	230	180	66	37.75	11.98	14.58	719	78	0	0	0	0	0
9	4/4/25	220	160	79	37.91	12	14.59	762	30	0	0	0	0	0
10	4/3/25	210	220	73	37.99	12.05	14.66	752	38	0	0	0	0	0
11	4/2/25	230	200	65	38.21	12.08	14.68	729	57	0	0	0	0	0
12	4/1/25	250	200	75	40.36	12.08	14.7	715	52	0	0	0	0	0
13	3/31/25	200	200	82	39.34	12.02	14.62	758	9	0	0	0	0	0
14	3/30/25	310	250	81	38.47	12.07	14.68	717	54	0	0	0	0	0
15	3/29/25	190	200	68	37.84	12	14.6	749	2	0	0	0	0	0
16	3/28/25	270	250	73	38.91	12.05	14.66	655	87	0	0	0	0	0
17	3/27/25	270	220	81	39.43	12.06	14.67	705	24	0	0	0	0	0
18	3/26/25	230	180	55	36.7	12.03	14.63	749	2	0	0	0	0	0
19	3/25/25	170	250	82	39.56	12	14.61	711	27	0	0	0	0	0
20	3/24/25	200	0	126	38.56	12.03	13.87	753	0	0	0	0	0	0
21	3/23/25	30	210	27	36.43	11.8	12.66	232	0	0	0	0	0	0
22	3/22/25	70	0	34	20.71	12.22	13.02	634	0	0	0	0	0	0
23	3/21/25	40	0	18	33.88	12.12	12.71	370	0	0	0	0	0	0
24	3/20/25	100	310	20	34.25	11.9	14.16	733	0	0	0	0	0	0
25	3/19/25	70	0	12	33.84	12.58	13.17	728	0	0	0	0	0	0
26	3/18/25	70	0	13	34.15	12.48	13.02	725	0	0	0	0	0	0
27	3/17/25	60	0	13	34.48	12.29	12.86	720	0	0	0	0	0	0
28	3/16/25	70	230	20	34.61	12	14.26	714	0	0	0	0	0	0
29	3/15/25	40	0	14	34.49	12.59	13.63	706	0	0	0	0	0	0
30	3/14/25	20	0	8	33.17	12.59	13.06	636	0	0	0	0	0	0
