Days ago,Date,Yield(Wh),Consumption(Wh),Max. PV power(W),Max. PV voltage(V),Min. battery voltage(V),Max. battery voltage(V),Time in bulk(m),Time in absorption(m),Time in float(m),Last error,2nd last error,3rd last error,4th last error
0,5/18/25,60,0,15.00,30.26,12.58,13.50,709,0,0,0,0,0,0
1,5/17/25,50,0,11.00,30.93,12.53,13.08,904,0,0,0,0,0,0
2,5/16/25,60,0,14.00,34.29,12.33,13.02,893,0,0,0,0,0,0
3,5/15/25,70,210,11.00,29.75,11.90,14.26,871,0,0,0,0,0,0
4,5/14/25,70,0,10.00,33.09,12.58,13.29,900,0,0,0,0,0,0
5,5/13/25,60,0,16.00,34.44,12.49,13.18,846,0,0,0,0,0,0
6,5/12/25,70,0,15.00,33.30,12.31,12.96,877,0,0,0,0,0,0
7,5/11/25,80,200,13.00,34.94,11.85,14.46,873,1,0,0,0,0,0
8,5/10/25,80,0,17.00,35.51,12.43,13.27,888,0,0,0,0,0,0
9,5/9/25,70,150,17.00,34.79,11.98,14.60,885,2,1,0,0,0,0
10,5/8/25,50,0,20.00,35.02,12.59,14.57,829,5,0,0,0,0,0
11,5/7/25,60,0,16.00,35.29,12.51,13.30,867,0,0,0,0,0,0
12,5/6/25,20,0,7.00,31.16,12.47,12.97,803,0,0,0,0,0,0
13,5/5/25,10,0,7.00,33.34,12.44,12.86,800,0,0,0,0,0,0
14,5/4/25,30,0,16.00,35.74,12.41,12.99,815,0,0,0,0,0,0
15,5/3/25,70,0,27.00,35.82,12.22,13.06,787,0,0,0,0,0,0
16,5/2/25,110,280,23.00,35.25,11.77,14.38,847,2,0,0,0,0,0
17,5/1/25,140,0,32.00,35.45,12.32,13.40,868,0,0,0,0,0,0
18,4/30/25,170,220,48.00,36.24,11.88,14.48,862,1,0,0,0,0,0
19,4/29/25,200,180,58.00,36.50,11.90,14.50,828,30,0,0,0,0,0
20,4/28/25,230,210,63.00,37.13,11.92,14.53,779,86,0,0,0,0,0
21,4/27/25,250,210,77.00,37.78,12.00,14.60,810,45,0,0,0,0,0
22,4/26/25,70,150,14.00,39.02,11.93,14.56,686,5,148,0,0,0,0
23,4/25/25,140,70,71.00,39.57,11.82,14.57,787,34,0,0,0,0,0
24,4/24/25,160,150,66.00,37.28,11.95,14.55,837,1,0,0,0,0,0
25,4/23/25,210,320,88.00,38.81,12.00,14.61,700,30,79,0,0,0,0
26,4/22/25,90,0,16.00,39.38,12.64,14.60,192,1,666,0,0,0,0
27,4/21/25,260,220,57.00,39.56,12.00,14.63,720,44,49,0,0,0,0
28,4/20/25,190,150,70.00,38.24,11.88,14.57,829,20,0,0,0,0,0
29,4/19/25,280,230,54.00,38.07,12.03,14.65,713,122,0,0,0,0,0
30,4/18/25,120,150,41.00,37.65,12.01,14.64,803,2,0,0,0,0,0
